family,design,alpha,file,sigma_y,n_ok,lam_min,lam_floor,rmse_min,rmse_floor,gain_floor,cv.bloss_vs_min,cv.smd_vs_min,cv.inf_vs_min,boot.smd_vs_min,boot.inf_vs_min,best,rmse_best,best_vs_floor,z_best,z_bootinf,z_cvbloss,overlap,p,n,s,s_y,dense,r2,mcse_rel
alpha_bad,"alpha sweep, bad overlap, SNR",0,alpha_bad_01_r200.rds,1,200,0.1189546275154856,0.1189546275154856,0.418692690372661,0.418692690372661,0,1.3400830001308046,2.1974392818210844,1.7446282151843127,1.5436994041944987,0.982021686552838,boot.inf,0.4111653019471057,-0.017978313447162053,-25.238331845471095,-25.238331845471095,53.07927706843177,NA,NA,NA,NA,NA,NA,0.6904024767801857,0.05
alpha_bad,"alpha sweep, bad overlap, SNR",0,alpha_bad_01_r200.rds,5,200,0.1189546275154856,0.1189546275154856,0.5633352170826633,0.5633352170826633,0,1.139112501588191,1.6963686549934178,1.3904225958398173,1.2612698945022427,0.9971135588806882,boot.inf,0.5617091831481195,-0.0028864411193118,-2.098282699834867,-2.098282699834867,10.471717271537564,NA,NA,NA,NA,NA,NA,0.08189496878442894,0.05
alpha_bad,"alpha sweep, bad overlap, SNR",0,alpha_bad_01_r200.rds,10,200,0.25038808846622923,0.1189546275154856,0.8159940815133864,0.8446491621062021,0.035116775037964176,1.0044364336763225,1.2814870304989363,1.1117307000588115,1.0500066241865131,1.043739883388263,cv.bloss,0.8196141851362921,-0.029639497785664326,-1.4142256947035396,3.7897540481614995,-1.4142256947035396,NA,NA,NA,NA,NA,NA,0.021813557664090776,0.05
alpha_bad,"alpha sweep, bad overlap, SNR",0.25,alpha_bad_02_r200.rds,1,200,0.03567662538585563,0.023472837185016034,0.34495981546820287,0.3457884619726185,0.0024021537212701727,1.3209553850662934,2.5873463810756268,1.9586557390436898,2.1695407916466127,1.0765517231314008,boot.inf,0.37136708375338384,0.07397187758911072,11.313655289873063,11.313655289873063,28.67691556714695,NA,NA,NA,NA,NA,NA,0.6904024767801857,0.05
alpha_bad,"alpha sweep, bad overlap, SNR",0.25,alpha_bad_02_r200.rds,5,200,0.0992723294064339,0.023472837185016034,0.5580109306094857,0.5802095365475066,0.03978166863823729,1.0638828433700114,1.6945028225163279,1.3394679944138697,1.4567933039948657,1.0022999671589177,boot.inf,0.5592943374242046,-0.0360476652068773,-1.969562494672019,-1.969562494672019,0.8523030764531618,NA,NA,NA,NA,NA,NA,0.08189496878442894,0.05
alpha_bad,"alpha sweep, bad overlap, SNR",0.25,alpha_bad_02_r200.rds,10,200,0.27623115356887556,0.023472837185016034,0.8573548328951607,0.9927231348024387,0.15789063840715656,1.008652803654269,1.2267328609642596,1.0462882717931936,1.1029339516049164,1.054578265262593,cv.bloss,0.864773355926241,-0.12888767712828697,-3.993307929629166,-4.136816022178635,-3.993307929629166,NA,NA,NA,NA,NA,NA,0.021813557664090776,0.05
alpha_bad,"alpha sweep, bad overlap, SNR",0.75,alpha_bad_03_r200.rds,1,200,0.0731512535880359,0.007843769147141596,0.2645046256437306,0.32433932983529556,0.2262142072031592,1.3869308277141068,3.411049200513382,2.5337375650607457,2.8149856977555765,1.285065205749547,boot.inf,0.3399056911745676,0.04799406025527908,3.7362871765886325,3.7362871765886325,8.816027959305092,NA,NA,NA,NA,NA,NA,0.6904024767801857,0.05
alpha_bad,"alpha sweep, bad overlap, SNR",0.75,alpha_bad_03_r200.rds,5,200,0.12202364540706039,0.007843769147141596,0.5097578075966291,0.5445144710970471,0.06818269967121493,1.0184901977208811,1.7978036968121598,1.3748118543528647,1.5068484178329462,1.0453418256451592,cv.bloss,0.5191833302488537,-0.04652060173379435,-1.3490754960964233,-0.8291469024296841,-1.3490754960964233,NA,NA,NA,NA,NA,NA,0.08189496878442894,0.05
alpha_bad,"alpha sweep, bad overlap, SNR",0.75,alpha_bad_03_r200.rds,10,200,0.26907809148213796,0.007843769147141596,0.7739191089401857,0.9560768395786932,0.2353705038863254,1.0856798951573456,1.2672950601042183,1.0495921447432814,1.1089634544530136,1.1729187105778827,cv.inf,0.8122994174103387,-0.15038270588346403,-2.9684279707742935,-1.6853221210695997,-3.0148575672757914,NA,NA,NA,NA,NA,NA,0.021813557664090776,0.05
alpha_bad,"alpha sweep, bad overlap, SNR",1,alpha_bad_04_r200.rds,1,200,0.11186159612013791,0.11186159612013791,0.2768239371802305,0.2768239371802305,0,1.3599003217534225,3.341899260539186,2.4921788300378553,2.72298862479842,1.5320954286744122,cv.bloss,0.3764529612404447,0.35990032175342246,20.147732102943078,27.14371089195303,20.147732102943078,NA,NA,NA,NA,NA,NA,0.6904024767801857,0.05
alpha_bad,"alpha sweep, bad overlap, SNR",1,alpha_bad_04_r200.rds,5,200,0.13473768854570417,0.11186159612013791,0.5188976934883812,0.5257190821453063,0.013145922100880947,1.0365679961911822,1.8684666136216592,1.4529200621179221,1.5594268409959045,1.0752675935968532,cv.bloss,0.5378727423674776,0.0231181645006604,1.047002224193302,2.3976941782972805,1.047002224193302,NA,NA,NA,NA,NA,NA,0.08189496878442894,0.05
alpha_bad,"alpha sweep, bad overlap, SNR",1,alpha_bad_04_r200.rds,10,200,0.2047893061120763,0.11186159612013791,0.817816942701933,0.9419399364080037,0.15177356597185265,1.0452387268117203,1.3067196968580468,1.0969212262264658,1.1427443570437315,1.0170996948624682,boot.inf,0.8318013628754927,-0.11692738493763599,-3.927429017444666,-3.927429017444666,-3.741759449027697,NA,NA,NA,NA,NA,NA,0.021813557664090776,0.05
dima,p x alpha x overlap,0.5,dima_01_r200.rds,1,200,0.03012990288673113,0.010335970645258237,0.14856264540664915,0.15639257682362226,0.052704577220880955,1.8838234404235294,4.804793030685037,3.6361488879572788,2.9455399250942187,1.2205131949274823,boot.inf,0.18132266899214802,0.15940713219810698,8.98590640908096,8.98590640908096,25.62447024606003,moderate,100,NA,NA,NA,NA,0.6904024767801857,0.05
dima,p x alpha x overlap,0.5,dima_02_r200.rds,1,200,0.06828257126126233,0.012213358892928768,0.29875435393911837,0.3265119528557673,0.09291111091992832,1.3053211107126683,2.937269886422889,2.235467067723368,2.4742572877859725,1.076799781440019,boot.inf,0.32169862302589675,-0.014741665007273919,-1.5269754591194724,-1.5269754591194724,13.715140053681866,bad,100,NA,NA,NA,NA,0.6904024767801857,0.05
dima,p x alpha x overlap,0.75,dima_03_r200.rds,1,200,0.03025607062386052,0.007154015865836993,0.11672606106181935,0.13501299650422083,0.15666540339022084,2.1913635120188033,6.182543933617482,4.704465622085404,4.339351042311803,1.3387683300994797,boot.inf,0.1562691538468218,0.157437860746513,4.811603530384041,4.811603530384041,21.299864565081048,moderate,100,NA,NA,NA,NA,0.6904024767801857,0.05
